SampleTime,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.500000,953.000000,1.000000,-262.000000,7.000000,-7.000000,-16.000000,-330.000000,-1479.000000,796.000000
0.550000,954.000000,1.000000,-264.000000,7.000000,-7.000000,-15.000000,-334.000000,-1482.000000,799.000000
0.600000,954.000000,1.000000,-264.000000,7.000000,-7.000000,-15.000000,-334.000000,-1482.000000,798.000000
0.650000,953.000000,1.000000,-263.000000,7.000000,-7.000000,-15.000000,-340.000000,-1477.000000,802.000000
0.700000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-337.000000,-1474.000000,789.000000
0.750000,952.000000,2.000000,-262.000000,7.000000,-7.000000,-15.000000,-330.000000,-1482.000000,798.000000
0.800000,948.000000,1.000000,-267.000000,7.000000,-2.000000,-16.000000,-334.000000,-1480.000000,796.000000
0.850000,947.000000,3.000000,-260.000000,6.000000,-10.000000,-17.000000,-336.000000,-1485.000000,796.000000
0.900000,949.000000,2.000000,-261.000000,7.000000,-5.000000,-16.000000,-334.000000,-1474.000000,793.000000
0.950000,954.000000,1.000000,-261.000000,7.000000,-4.000000,-15.000000,-340.000000,-1480.000000,798.000000
1.000000,953.000000,1.000000,-263.000000,7.000000,-8.000000,-16.000000,-342.000000,-1479.000000,799.000000
1.050000,953.000000,0.000000,-263.000000,8.000000,-7.000000,-16.000000,-337.000000,-1476.000000,798.000000
1.100000,953.000000,1.000000,-263.000000,8.000000,-7.000000,-15.000000,-334.000000,-1477.000000,796.000000
1.150000,950.000000,1.000000,-264.000000,7.000000,-9.000000,-15.000000,-334.000000,-1480.000000,793.000000
1.200000,953.000000,1.000000,-264.000000,8.000000,-7.000000,-15.000000,-342.000000,-1473.000000,796.000000
1.250000,951.000000,1.000000,-265.000000,7.000000,-6.000000,-16.000000,-336.000000,-1488.000000,796.000000
1.300000,951.000000,1.000000,-262.000000,7.000000,-7.000000,-16.000000,-336.000000,-1479.000000,793.000000
1.350000,953.000000,1.000000,-264.000000,7.000000,-8.000000,-15.000000,-334.000000,-1482.000000,805.000000
1.400000,951.000000,1.000000,-262.000000,7.000000,-9.000000,-15.000000,-333.000000,-1483.000000,798.000000
1.450000,965.000000,0.000000,-263.000000,9.000000,-13.000000,-13.000000,-342.000000,-1480.000000,798.000000
1.500000,952.000000,-2.000000,-258.000000,9.000000,-3.000000,-12.000000,-333.000000,-1483.000000,801.000000
1.550000,960.000000,0.000000,-259.000000,7.000000,0.000000,-16.000000,-330.000000,-1479.000000,799.000000
1.600000,951.000000,0.000000,-262.000000,7.000000,-7.000000,-16.000000,-337.000000,-1479.000000,795.000000
1.650000,951.000000,2.000000,-262.000000,8.000000,-7.000000,-15.000000,-342.000000,-1485.000000,793.000000
1.700000,952.000000,1.000000,-262.000000,7.000000,-6.000000,-15.000000,-340.000000,-1477.000000,801.000000
1.750000,952.000000,0.000000,-263.000000,8.000000,-8.000000,-15.000000,-331.000000,-1483.000000,799.000000
1.800000,951.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-337.000000,-1473.000000,801.000000
1.850000,951.000000,1.000000,-262.000000,7.000000,-7.000000,-15.000000,-340.000000,-1476.000000,795.000000
1.900000,951.000000,0.000000,-263.000000,7.000000,-7.000000,-16.000000,-337.000000,-1471.000000,795.000000
1.950000,953.000000,1.000000,-266.000000,8.000000,-9.000000,-15.000000,-337.000000,-1477.000000,799.000000
2.000000,950.000000,1.000000,-264.000000,8.000000,-7.000000,-15.000000,-337.000000,-1473.000000,793.000000
2.050000,952.000000,2.000000,-262.000000,7.000000,-7.000000,-16.000000,-333.000000,-1485.000000,802.000000
2.100000,952.000000,0.000000,-264.000000,7.000000,-8.000000,-15.000000,-330.000000,-1483.000000,805.000000
2.150000,953.000000,0.000000,-265.000000,7.000000,-7.000000,-15.000000,-334.000000,-1479.000000,801.000000
2.200000,954.000000,0.000000,-266.000000,7.000000,-9.000000,-15.000000,-339.000000,-1483.000000,802.000000
2.250000,952.000000,1.000000,-264.000000,7.000000,-4.000000,-15.000000,-337.000000,-1479.000000,796.000000
2.300000,955.000000,1.000000,-263.000000,7.000000,-6.000000,-16.000000,-342.000000,-1480.000000,799.000000
2.350000,950.000000,2.000000,-269.000000,9.000000,-15.000000,-15.000000,-334.000000,-1479.000000,798.000000
2.400000,971.000000,0.000000,-262.000000,7.000000,0.000000,-15.000000,-336.000000,-1480.000000,807.000000
2.450000,960.000000,-2.000000,-264.000000,7.000000,-8.000000,-14.000000,-328.000000,-1479.000000,799.000000
2.500000,957.000000,0.000000,-264.000000,8.000000,-8.000000,-14.000000,-340.000000,-1479.000000,802.000000
2.550000,954.000000,0.000000,-264.000000,8.000000,-7.000000,-14.000000,-336.000000,-1479.000000,792.000000
2.600000,953.000000,0.000000,-265.000000,8.000000,-9.000000,-14.000000,-333.000000,-1479.000000,805.000000
2.650000,953.000000,1.000000,-265.000000,7.000000,-7.000000,-16.000000,-342.000000,-1477.000000,802.000000
2.700000,954.000000,0.000000,-263.000000,7.000000,-6.000000,-15.000000,-339.000000,-1482.000000,798.000000
2.750000,953.000000,0.000000,-263.000000,7.000000,-6.000000,-16.000000,-325.000000,-1477.000000,795.000000
2.800000,953.000000,1.000000,-264.000000,7.000000,-9.000000,-16.000000,-337.000000,-1477.000000,790.000000
2.850000,952.000000,1.000000,-262.000000,8.000000,-7.000000,-15.000000,-336.000000,-1476.000000,802.000000
2.900000,947.000000,1.000000,-264.000000,7.000000,-7.000000,-16.000000,-340.000000,-1476.000000,802.000000
2.950000,951.000000,0.000000,-260.000000,7.000000,-4.000000,-16.000000,-337.000000,-1480.000000,798.000000
3.000000,951.000000,1.000000,-261.000000,6.000000,-9.000000,-16.000000,-333.000000,-1473.000000,802.000000
3.050000,952.000000,2.000000,-262.000000,7.000000,-6.000000,-15.000000,-337.000000,-1479.000000,798.000000
3.100000,951.000000,1.000000,-262.000000,7.000000,-8.000000,-15.000000,-337.000000,-1477.000000,796.000000
3.150000,954.000000,0.000000,-264.000000,7.000000,-7.000000,-16.000000,-333.000000,-1483.000000,793.000000
3.200000,956.000000,0.000000,-264.000000,7.000000,-8.000000,-15.000000,-336.000000,-1480.000000,796.000000
3.250000,956.000000,0.000000,-266.000000,8.000000,-8.000000,-14.000000,-327.000000,-1486.000000,796.000000
3.300000,954.000000,0.000000,-266.000000,8.000000,-8.000000,-15.000000,-334.000000,-1477.000000,793.000000
3.350000,954.000000,0.000000,-267.000000,8.000000,-9.000000,-14.000000,-340.000000,-1479.000000,795.000000
3.400000,950.000000,0.000000,-261.000000,7.000000,-4.000000,-17.000000,-336.000000,-1474.000000,792.000000
3.450000,952.000000,1.000000,-263.000000,7.000000,-6.000000,-16.000000,-340.000000,-1473.000000,804.000000
3.500000,950.000000,2.000000,-263.000000,7.000000,-8.000000,-16.000000,-330.000000,-1473.000000,789.000000
3.550000,954.000000,0.000000,-264.000000,8.000000,-7.000000,-15.000000,-339.000000,-1477.000000,792.000000
3.600000,953.000000,0.000000,-264.000000,7.000000,-9.000000,-15.000000,-331.000000,-1476.000000,799.000000
3.650000,954.000000,1.000000,-264.000000,7.000000,-7.000000,-15.000000,-346.000000,-1476.000000,796.000000
3.700000,951.000000,0.000000,-265.000000,8.000000,-7.000000,-16.000000,-339.000000,-1476.000000,796.000000
3.750000,964.000000,1.000000,-254.000000,7.000000,-2.000000,-16.000000,-336.000000,-1476.000000,796.000000
3.800000,952.000000,1.000000,-264.000000,7.000000,-11.000000,-16.000000,-331.000000,-1477.000000,799.000000
3.850000,953.000000,1.000000,-264.000000,8.000000,-9.000000,-14.000000,-336.000000,-1477.000000,793.000000
3.900000,953.000000,0.000000,-266.000000,9.000000,-10.000000,-15.000000,-336.000000,-1486.000000,793.000000
3.950000,953.000000,0.000000,-265.000000,7.000000,-8.000000,-15.000000,-334.000000,-1479.000000,798.000000
4.000000,951.000000,1.000000,-264.000000,7.000000,-7.000000,-15.000000,-333.000000,-1483.000000,801.000000
4.050000,954.000000,1.000000,-264.000000,7.000000,-6.000000,-14.000000,-334.000000,-1479.000000,795.000000
4.100000,952.000000,1.000000,-263.000000,7.000000,-8.000000,-16.000000,-328.000000,-1474.000000,798.000000
4.150000,952.000000,0.000000,-266.000000,7.000000,-8.000000,-15.000000,-339.000000,-1482.000000,802.000000
4.200000,951.000000,0.000000,-263.000000,7.000000,-5.000000,-16.000000,-334.000000,-1479.000000,801.000000
4.250000,953.000000,1.000000,-266.000000,7.000000,-7.000000,-16.000000,-331.000000,-1473.000000,796.000000
4.300000,952.000000,0.000000,-265.000000,7.000000,-6.000000,-16.000000,-334.000000,-1474.000000,802.000000
4.350000,951.000000,0.000000,-264.000000,7.000000,-6.000000,-16.000000,-337.000000,-1470.000000,793.000000
4.400000,951.000000,0.000000,-264.000000,7.000000,-8.000000,-16.000000,-331.000000,-1482.000000,798.000000
4.450000,955.000000,1.000000,-265.000000,7.000000,-7.000000,-15.000000,-345.000000,-1485.000000,805.000000
4.500000,952.000000,0.000000,-266.000000,8.000000,-8.000000,-15.000000,-342.000000,-1483.000000,802.000000
4.550000,954.000000,1.000000,-263.000000,7.000000,-7.000000,-15.000000,-339.000000,-1474.000000,808.000000
4.600000,952.000000,0.000000,-260.000000,6.000000,0.000000,-16.000000,-339.000000,-1479.000000,793.000000
4.650000,956.000000,3.000000,-265.000000,7.000000,-7.000000,-16.000000,-337.000000,-1483.000000,799.000000
4.700000,951.000000,0.000000,-264.000000,8.000000,-8.000000,-14.000000,-330.000000,-1477.000000,798.000000
4.750000,952.000000,0.000000,-263.000000,7.000000,-6.000000,-16.000000,-331.000000,-1483.000000,792.000000
4.800000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-336.000000,-1480.000000,798.000000
4.850000,954.000000,0.000000,-264.000000,8.000000,-7.000000,-15.000000,-343.000000,-1480.000000,792.000000
4.900000,953.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-331.000000,-1479.000000,804.000000
4.950000,954.000000,0.000000,-265.000000,8.000000,-7.000000,-15.000000,-334.000000,-1491.000000,795.000000
5.000000,953.000000,0.000000,-265.000000,8.000000,-7.000000,-16.000000,-337.000000,-1479.000000,799.000000
5.050000,953.000000,0.000000,-264.000000,7.000000,-7.000000,-16.000000,-330.000000,-1485.000000,790.000000
5.100000,954.000000,1.000000,-264.000000,8.000000,-7.000000,-16.000000,-333.000000,-1483.000000,798.000000
5.150000,954.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-327.000000,-1479.000000,789.000000
5.200000,953.000000,1.000000,-265.000000,8.000000,-7.000000,-15.000000,-334.000000,-1476.000000,804.000000
5.250000,953.000000,0.000000,-265.000000,8.000000,-8.000000,-15.000000,-331.000000,-1479.000000,799.000000
5.300000,952.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-342.000000,-1488.000000,798.000000
5.350000,952.000000,1.000000,-264.000000,7.000000,-7.000000,-15.000000,-324.000000,-1476.000000,796.000000
5.400000,954.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-333.000000,-1482.000000,796.000000
5.450000,954.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-343.000000,-1474.000000,795.000000
5.500000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-337.000000,-1473.000000,801.000000
5.550000,953.000000,1.000000,-263.000000,7.000000,-7.000000,-15.000000,-343.000000,-1483.000000,798.000000
5.600000,952.000000,1.000000,-263.000000,7.000000,-7.000000,-15.000000,-346.000000,-1470.000000,802.000000
5.650000,953.000000,1.000000,-264.000000,7.000000,-7.000000,-15.000000,-328.000000,-1474.000000,805.000000
5.700000,953.000000,0.000000,-263.000000,7.000000,-7.000000,-16.000000,-336.000000,-1477.000000,801.000000
5.750000,953.000000,1.000000,-264.000000,8.000000,-7.000000,-15.000000,-339.000000,-1480.000000,790.000000
5.800000,953.000000,1.000000,-263.000000,7.000000,-7.000000,-14.000000,-339.000000,-1483.000000,798.000000
5.850000,964.000000,0.000000,-257.000000,7.000000,-5.000000,-14.000000,-336.000000,-1477.000000,795.000000
5.900000,971.000000,1.000000,-266.000000,8.000000,-4.000000,-14.000000,-339.000000,-1480.000000,805.000000
5.950000,948.000000,1.000000,-264.000000,7.000000,-8.000000,-16.000000,-334.000000,-1477.000000,795.000000
6.000000,953.000000,1.000000,-264.000000,8.000000,-7.000000,-15.000000,-339.000000,-1488.000000,796.000000
6.050000,952.000000,0.000000,-263.000000,8.000000,-7.000000,-15.000000,-331.000000,-1482.000000,796.000000
6.100000,953.000000,0.000000,-265.000000,8.000000,-7.000000,-15.000000,-339.000000,-1479.000000,799.000000
6.150000,950.000000,0.000000,-267.000000,7.000000,-7.000000,-15.000000,-334.000000,-1477.000000,795.000000
6.200000,952.000000,2.000000,-263.000000,7.000000,-7.000000,-16.000000,-331.000000,-1476.000000,787.000000
6.250000,953.000000,0.000000,-264.000000,7.000000,-6.000000,-15.000000,-336.000000,-1479.000000,802.000000
6.300000,953.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-336.000000,-1476.000000,801.000000
6.350000,952.000000,1.000000,-263.000000,8.000000,-7.000000,-14.000000,-330.000000,-1485.000000,796.000000
6.400000,953.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-339.000000,-1480.000000,792.000000
6.450000,954.000000,0.000000,-263.000000,7.000000,-7.000000,-16.000000,-346.000000,-1474.000000,792.000000
6.500000,951.000000,1.000000,-263.000000,7.000000,-6.000000,-16.000000,-336.000000,-1473.000000,801.000000
6.550000,954.000000,1.000000,-264.000000,7.000000,-7.000000,-16.000000,-337.000000,-1485.000000,802.000000
6.600000,949.000000,0.000000,-265.000000,7.000000,-7.000000,-15.000000,-336.000000,-1477.000000,790.000000
6.650000,952.000000,0.000000,-262.000000,7.000000,-5.000000,-16.000000,-339.000000,-1480.000000,805.000000
6.700000,951.000000,0.000000,-264.000000,7.000000,-8.000000,-15.000000,-339.000000,-1476.000000,795.000000
6.750000,953.000000,1.000000,-264.000000,7.000000,-7.000000,-15.000000,-334.000000,-1483.000000,792.000000
6.800000,954.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-327.000000,-1479.000000,804.000000
6.850000,954.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-336.000000,-1477.000000,789.000000
6.900000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-16.000000,-331.000000,-1479.000000,790.000000
6.950000,953.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-333.000000,-1479.000000,798.000000
7.000000,952.000000,0.000000,-265.000000,7.000000,-8.000000,-15.000000,-340.000000,-1482.000000,807.000000
7.050000,956.000000,0.000000,-264.000000,8.000000,-7.000000,-15.000000,-331.000000,-1471.000000,802.000000
7.100000,957.000000,0.000000,-276.000000,10.000000,-18.000000,-13.000000,-340.000000,-1483.000000,799.000000
7.150000,954.000000,1.000000,-267.000000,8.000000,-6.000000,-14.000000,-334.000000,-1482.000000,807.000000
7.200000,956.000000,1.000000,-266.000000,7.000000,-8.000000,-16.000000,-337.000000,-1479.000000,792.000000
7.250000,955.000000,1.000000,-266.000000,8.000000,-7.000000,-15.000000,-337.000000,-1482.000000,805.000000
7.300000,953.000000,0.000000,-262.000000,8.000000,-7.000000,-14.000000,-336.000000,-1483.000000,802.000000
7.350000,954.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-343.000000,-1482.000000,798.000000
7.400000,953.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-328.000000,-1480.000000,796.000000
7.450000,952.000000,1.000000,-261.000000,7.000000,-7.000000,-16.000000,-330.000000,-1480.000000,810.000000
7.500000,955.000000,0.000000,-265.000000,7.000000,-6.000000,-15.000000,-331.000000,-1480.000000,792.000000
7.550000,953.000000,0.000000,-265.000000,7.000000,-9.000000,-15.000000,-330.000000,-1476.000000,801.000000
7.600000,953.000000,0.000000,-264.000000,8.000000,-6.000000,-15.000000,-337.000000,-1477.000000,804.000000
7.650000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-339.000000,-1471.000000,798.000000
7.700000,952.000000,1.000000,-263.000000,7.000000,-7.000000,-16.000000,-333.000000,-1476.000000,799.000000
7.750000,955.000000,0.000000,-262.000000,7.000000,-5.000000,-15.000000,-339.000000,-1479.000000,796.000000
7.800000,955.000000,0.000000,-266.000000,8.000000,-8.000000,-14.000000,-325.000000,-1474.000000,799.000000
7.850000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-336.000000,-1482.000000,786.000000
7.900000,954.000000,0.000000,-264.000000,8.000000,-7.000000,-15.000000,-333.000000,-1476.000000,792.000000
7.950000,952.000000,0.000000,-264.000000,8.000000,-6.000000,-15.000000,-337.000000,-1480.000000,798.000000
8.000000,953.000000,0.000000,-264.000000,7.000000,-7.000000,-16.000000,-330.000000,-1480.000000,798.000000
8.050000,951.000000,0.000000,-263.000000,7.000000,-6.000000,-16.000000,-333.000000,-1477.000000,793.000000
8.100000,954.000000,1.000000,-263.000000,7.000000,-7.000000,-16.000000,-336.000000,-1477.000000,799.000000
8.150000,956.000000,1.000000,-264.000000,7.000000,-7.000000,-15.000000,-342.000000,-1479.000000,799.000000
8.200000,954.000000,0.000000,-265.000000,8.000000,-7.000000,-15.000000,-333.000000,-1479.000000,795.000000
8.250000,953.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-340.000000,-1477.000000,799.000000
8.300000,953.000000,0.000000,-264.000000,7.000000,-7.000000,-16.000000,-334.000000,-1474.000000,795.000000
8.350000,953.000000,1.000000,-263.000000,8.000000,-7.000000,-16.000000,-339.000000,-1477.000000,790.000000
8.400000,955.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-322.000000,-1483.000000,801.000000
8.450000,950.000000,0.000000,-266.000000,7.000000,-8.000000,-15.000000,-342.000000,-1473.000000,790.000000
8.500000,951.000000,0.000000,-262.000000,7.000000,-6.000000,-15.000000,-328.000000,-1477.000000,796.000000
8.550000,953.000000,1.000000,-264.000000,7.000000,-6.000000,-16.000000,-334.000000,-1480.000000,795.000000
8.600000,953.000000,0.000000,-264.000000,7.000000,-7.000000,-16.000000,-340.000000,-1482.000000,798.000000
8.650000,952.000000,0.000000,-262.000000,7.000000,-7.000000,-15.000000,-333.000000,-1489.000000,793.000000
8.700000,952.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-339.000000,-1479.000000,807.000000
8.750000,955.000000,1.000000,-262.000000,7.000000,-7.000000,-15.000000,-337.000000,-1480.000000,792.000000
8.800000,953.000000,0.000000,-265.000000,7.000000,-7.000000,-15.000000,-333.000000,-1479.000000,792.000000
8.850000,953.000000,0.000000,-263.000000,7.000000,-6.000000,-15.000000,-336.000000,-1482.000000,804.000000
8.900000,938.000000,0.000000,-266.000000,7.000000,-8.000000,-16.000000,-339.000000,-1479.000000,796.000000
8.950000,950.000000,5.000000,-256.000000,6.000000,-9.000000,-18.000000,-336.000000,-1471.000000,793.000000
9.000000,953.000000,1.000000,-264.000000,9.000000,-9.000000,-14.000000,-330.000000,-1476.000000,799.000000
9.050000,953.000000,-1.000000,-262.000000,8.000000,-7.000000,-14.000000,-337.000000,-1477.000000,795.000000
9.100000,951.000000,2.000000,-263.000000,7.000000,-9.000000,-16.000000,-324.000000,-1474.000000,804.000000
9.150000,952.000000,0.000000,-262.000000,8.000000,-5.000000,-16.000000,-339.000000,-1479.000000,799.000000
9.200000,952.000000,1.000000,-263.000000,7.000000,-7.000000,-16.000000,-346.000000,-1476.000000,795.000000
9.250000,952.000000,1.000000,-262.000000,8.000000,-9.000000,-15.000000,-339.000000,-1474.000000,804.000000
9.300000,954.000000,0.000000,-262.000000,7.000000,-7.000000,-15.000000,-333.000000,-1479.000000,802.000000
9.350000,955.000000,0.000000,-266.000000,8.000000,-8.000000,-15.000000,-333.000000,-1480.000000,795.000000
9.400000,953.000000,0.000000,-264.000000,8.000000,-7.000000,-14.000000,-334.000000,-1479.000000,792.000000
9.450000,954.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-339.000000,-1474.000000,793.000000
9.500000,955.000000,0.000000,-265.000000,8.000000,-8.000000,-14.000000,-337.000000,-1477.000000,798.000000
9.550000,952.000000,0.000000,-263.000000,7.000000,-7.000000,-14.000000,-337.000000,-1474.000000,798.000000
9.600000,953.000000,0.000000,-265.000000,7.000000,-8.000000,-15.000000,-333.000000,-1485.000000,798.000000
9.650000,955.000000,0.000000,-266.000000,8.000000,-10.000000,-14.000000,-343.000000,-1480.000000,799.000000
9.700000,954.000000,0.000000,-265.000000,9.000000,-8.000000,-14.000000,-331.000000,-1488.000000,787.000000
9.750000,953.000000,0.000000,-264.000000,7.000000,-7.000000,-16.000000,-343.000000,-1480.000000,793.000000
9.800000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-336.000000,-1471.000000,796.000000
9.850000,952.000000,0.000000,-265.000000,8.000000,-6.000000,-15.000000,-325.000000,-1479.000000,801.000000
